OBJECTID,SRNS1,DECLARED,ROADNAME,LOCALNAME,ALTNAME,ALT2NAME,RMACLASS,Shape__Length,GlobalID
18687,A300,MIDLAND HIGHWAY,MIDLAND HIGHWAY,VICTORIA-CALDER IN RAMP,   ,   ,AH,23.4348079939491,de5061aa-7c2b-4001-8b00-62b34d299a94
18688,B500,GREAT ALPINE ROAD,GREAT ALPINE ROAD,GREAT ALPINE ROAD,   ,   ,AH,43623.5609994512,1614afab-96e6-4231-a14e-83278a39ce9d
18689,B500,GREAT ALPINE ROAD,GREAT ALPINE ROAD,GREAT ALPINE ROAD,   ,   ,AH,34.2658232034126,70f75f69-d685-41ef-a186-017edfff2a14
18690,B500,GREAT ALPINE ROAD,GREAT ALPINE ROAD,GREAT ALPINE ROAD,   ,   ,AH,64.2594574207738,38a6c385-b77d-484c-b433-37b9026e373d
18691,B500,GREAT ALPINE ROAD,GREAT ALPINE ROAD,GREAT ALPINE ROAD,   ,   ,AH,4574.79198982305,ec60ae4c-42af-4ae3-a7ad-15ed75ee668a
18692,B500,GREAT ALPINE ROAD,GREAT ALPINE ROAD,GREAT ALPINE ROAD,   ,   ,AH,570.519161490112,f8019383-24bc-4931-9cbc-6190feb32c90
18693,B500,GREAT ALPINE ROAD,GREAT ALPINE ROAD,GREAT ALPINE ROAD,   ,   ,AH,69.1872644878499,d2eb7416-17f7-4104-acfd-21b2c67f24f2
18694,B500,GREAT ALPINE ROAD,GREAT ALPINE ROAD,GREAT ALPINE ROAD,   ,   ,AH,107.17886875422,81469d49-989b-429c-ac98-6a3dbd2772c5
18695,B500,GREAT ALPINE ROAD,GREAT ALPINE ROAD,GREAT ALPINE ROAD,   ,   ,AH,21780.2014393672,5d1692f6-7479-4a18-969a-c0dacf966840
18696,B500,GREAT ALPINE ROAD,GREAT ALPINE ROAD,GREAT ALPINE ROAD,   ,   ,AH,22971.4241710979,bff8cb1c-76d9-43f4-b644-477a8141d285
18697,B500,GREAT ALPINE ROAD,GREAT ALPINE ROAD,GREAT ALPINE ROAD,   ,   ,AH,23.2683057496038,b6098b54-1fc0-451b-bde7-547b2516e71e
18698,B500,GREAT ALPINE ROAD,GREAT ALPINE ROAD,GREAT ALPINE ROAD,   ,   ,AH,83159.4440301249,22509ba8-92a5-4dbe-b1c2-768d1ab01f26
18699,B500,GREAT ALPINE ROAD,GREAT ALPINE ROAD,GREAT ALPINE ROAD,   ,   ,AH,20992.2018564923,5f51f3bd-4815-4d53-a5f5-722abf7adc21
