X,Y,OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI
2445529.288000024855137,2362576.568096684291959,45042,,,5168,BARWON HEADS ROAD/WARALILY BVD,INT,,,,,,,,OPERATIONAL,,,,
2521290.035699991975,2403509.490096702240407,45043,,,2015,MELBOURNE NR HOBART (KNOX CITY),POS,,,,,,,,OPERATIONAL,,,,
2435751.889000021852553,2526241.71759682521224,45044,,,6273,MITCHELL/QUEEN,INT,,,,,,,,OPERATIONAL,,,,
2511713.481799995061,2367296.680796685628593,45045,,,520,MOOROODUC/SAGES,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2487085.803700005635619,2412751.473396710120142,45046,,,3629,CHURCHILL NR BRAYBROOK COMMUNITY CENTRE,POS,,,,,,,,OPERATIONAL,,,,
2524826.148699990008026,2376606.735996687784791,45047,,,3170,STH GIPPS'D HWY (HIGHST) NR CHILDERS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,
2524863.198399988468736,2376855.494496687315404,45048,,,3171,STH GIPPS'D HWY (HIGH) NR LYALL,POS,,,,,,,,OPERATIONAL,PUFFIN,,,
2489433.786300007253885,2348255.07509667892009,45049,,,550,EASTBOURNE RD/VILLAGE GLEN DR,INT,,,,,,,,OPERATIONAL,,,,
2489670.372599999886,2409334.776296704076231,45050,,,3486,WILLIAMSTOWN/SHOPPING CENTRE ENT,INT,,,,,,,,OPERATIONAL,MICROCEL,,,
2511951.617399994749576,2376924.031396687030792,45051,,,516,SEAFORD/WELLS,INT,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,
2502442.304799995385,2417811.432996707037091,45052,,,3259,MURRAY/NORTHLAND SHOP EAST ACCESS RD,INT,,,,,,,,OPERATIONAL,MICROCEL,,,
2493156.665100003127009,2426483.596796711906791,45053,,,3612,PASCOE VALE/TAGGERTY CRES STH,INT,,,,,,,,OPERATIONAL,MICROCEL,,,
2489561.917900007683784,2408613.444296701811254,45054,,,3487,WILLIAMSTOWN NR THOMAS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,
2499378.206699996720999,2415459.228696712292731,45055,,,4160,ST GEORGES NR KEMP,POS,,,,,,,,OPERATIONAL,,,,
2513979.406199992634356,2387593.191796691156924,45056,,,395,HUTTON/CHAPEL,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2515041.551999995950609,2387734.534796693827957,45057,,,495,HUTTON/GREEN/PERRY,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2432545.420100029092282,2522341.115996822714806,45058,,,6258,CALDER HWY NR CAMP,POS,,,,,,,,OPERATIONAL,,,,
2489735.722200002521276,2423579.173896715044975,45059,,,2855,GLADSTONE PARK NR BELMONT,FLASH PX,,,,,,,,OPERATIONAL,,,,
2398700.919500038027763,2546509.137596856802702,45060,,,6234,CALDER HWY NR VERDON ST,POS,,,,,,,,OPERATIONAL,PELICAN,,,
2502819.514099999797,2398163.21719669830054,45061,,,3443,CENTRE NR GILBERT,POS,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,
2443522.286800018977374,2373443.144496686756611,45062,,,5047,WESTERN BEACH NR GINN,FLASH PX,,,,,,,,OPERATIONAL,,,,
2520998.574199988041073,2386675.319696691818535,45063,,,965,STH GIPPSLAND HWY/WATERVIEW,INT,,,,,,,,OPERATIONAL,,,,
2523127.245999990031123,2401371.598396703600883,45064,,,827,FERNTREE GULLY/WINDERMERE,INT,,,,,,,,OPERATIONAL,,,,
2504926.502899995073676,2407815.387896702624857,45065,,,2839,CAMBERWELL NR EVANS,POS,,,,,,,,OPERATIONAL,,,,
2532193.429099985398352,2384063.747496689669788,45066,,,513,BEACONSFIELD-BERWICK/B'FIELD-EMERALD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2517103.307199991773814,2372277.549096684902906,45067,,,514,CRANBOURNE-FRANKSTON/UNION/PINDARA,INT,,,,,,,,OPERATIONAL,,,,
2512263.834199996665,2413497.942396710626781,45068,,,805,GEORGE/CHURCH,INT,,,,,,,,OPERATIONAL,,,,
2527262.365899991709739,2388093.550196696072817,45069,,,396,NARRE WARREN NTH/MARAMBA,INT,,,,,,,,OPERATIONAL,,,,
2710039.586899924091995,2419865.792496712878346,45070,,,7093,AQUEDUCT/ST HELENA SHOP CENTRE,INT,,,,,,,,OPERATIONAL,,,,
2524140.043999990914017,2413011.239496710710227,45071,,,301,PLYMOUTH/YARRA,INT,,,,,,,,OPERATIONAL,,,,
2496991.511100003030151,2408252.145596698857844,45072,,,4489,WESTGATE FWY/POWER,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,
2534164.731099986471236,2412261.633096705190837,45073,,,820,MONBULK/CLEGG,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2500171.021799996495247,2411142.569796706549823,45074,,,2465,JOHNSTON O/H LANE W CLARKE GANTRY 15,OH LANE,,,,,,,,OPERATIONAL,,,,
2500213.29280000180006,2411137.574396703392267,45075,,,2466,JOHNSTON O/H LANE E CLARKE GANTRY 16,OH LANE,,,,,,,,OPERATIONAL,,,,
2497651.64000000199303,2407143.252596701495349,45076,,,2444,QUEENS O'HEAD S KINGSWAY GANTRY 01,OH LANE,,,,,,,,OPERATIONAL,,,,
2499186.269500002264977,2411264.284396710805595,45077,,,2456,JOHNSTON O/H LANE W HARMSWORTH GANTRY 6,OH LANE,,,,,,,,OPERATIONAL,,,,
2499312.821699998341501,2411248.42459670919925,45078,,,2457,JOHNSTON O/H LANE W SYDNEY GANTRY 7,OH LANE,,,,,,,,OPERATIONAL,,,,
2499407.845700004138052,2411236.445296709425747,45079,,,2458,JOHNSTON O/H LANE E HODDLE GANTRY 8,OH LANE,,,,,,,,OPERATIONAL,,,,
2499575.083600002806634,2411215.922896706499159,45080,,,2459,JOHNSTON O/H LANE W PARK GANTRY 9,OH LANE,,,,,,,,OPERATIONAL,,,,
2499610.133900001179427,2411211.707196706905961,45081,,,2460,JOHNSTON O/H LANE E PARK GANTRY 10,OH LANE,,,,,,,,OPERATIONAL,,,,
2499755.266400002874434,2411193.843796707689762,45082,,,2461,JOHNSTON O/H LANE E RICH GANTRY 11,OH LANE,,,,,,,,OPERATIONAL,,,,
2499874.4191,2411179.196196705102921,45083,,,2462,JOHNSTON O/H LANE E HUNTER GANTRY 12,OH LANE,,,,,,,,OPERATIONAL,,,,
2499976.134400001727045,2411166.54459670279175,45084,,,2463,JOHNSTON O/H LANE W TRENERRY GANTRY 13,OH LANE,,,,,,,,OPERATIONAL,,,,
2517238.025699996855,2372442.336396684870124,45085,,,302,CRANBOURNE-FRANK/SOUTHGATEWAY,INT,,,,,,,,OPERATIONAL,,,,
2509411.364699993748218,2400924.536596701480448,45086,,,3281,HUNTINGDALE NR ESTELLE,POS,,,,,,,,OPERATIONAL,,,,
2488698.5456,2411145.608996706083417,45087,,,2518,SUNSHINE/ROBERTS,INT,,,,,,,,OPERATIONAL,,,,
2491141.69030000641942,2417857.942996708676219,45088,,,2791,KEILOR NR COOPER,POS,,,,,,,,OPERATIONAL,,,,
2532014.977299990598112,2413774.984896709211171,45089,,,109,SWANSEA/HULL,INT,,,,,,,,OPERATIONAL,,,,
